stock_locate,tracking_number,timestamp,order_reference_number,buy_sell_indicator,shares,price
6963,0,0 days 04:00:00.001313761,11,1,3400,71100
6963,0,0 days 04:00:00.001401480,35,1,12500,70800
6963,0,0 days 04:00:00.001445278,47,-1,4800,71600
6963,0,0 days 04:00:00.001488348,51,-1,12500,71900
6537,0,0 days 04:00:00.002902396,191,1,200,1960100
6537,0,0 days 04:00:00.002919212,195,-1,200,1961300
7428,0,0 days 04:00:00.003215072,1008,1,300,3026000
7428,0,0 days 04:00:00.003234910,1012,-1,300,3035600
7428,0,0 days 04:00:00.005159989,1808,1,300,3025800
7428,0,0 days 04:00:00.005176989,1812,-1,300,3035800
6182,0,0 days 04:00:00.005469842,515,-1,300,83200
8471,0,0 days 04:00:00.005542109,1960,-1,1100,42000
386,0,0 days 04:00:00.005640951,11221,-1,3,19320000
1333,0,0 days 04:00:00.005933158,11297,1,50,622900
3801,0,0 days 04:00:00.006111666,558,1,125,400000
4208,0,0 days 04:00:00.006314360,642,1,100,625700
6729,0,0 days 04:00:00.006358023,615,-1,200,51800
8423,0,0 days 04:00:00.006587247,2412,-1,200,64900
976,0,0 days 04:00:00.006590286,11477,1,1000,121600
8886,0,0 days 04:00:00.006619067,2428,-1,100,110600
1630,0,0 days 04:00:00.007215821,11737,1,5,503500
6596,0,0 days 04:00:00.007231123,735,-1,1000,80000
4946,0,0 days 04:00:00.007248491,739,1,500,112000
7480,0,0 days 04:00:00.007537928,2928,1,600,201000
2159,0,0 days 04:00:00.007786510,11913,1,100000,11
8114,0,0 days 04:00:00.007835579,3076,1,500,90100
3448,0,0 days 04:00:00.007854106,1234,1,100,252400
7345,0,0 days 04:00:00.007958526,3168,1,400,283100
976,0,0 days 04:00:00.008017252,11965,1,1000,118400
4817,0,0 days 04:00:00.008127194,883,-1,500,258800
4724,0,0 days 04:00:00.008250474,903,-1,500,239700
7828,0,0 days 04:00:00.008554846,3516,-1,35,110000
7813,0,0 days 04:00:00.008594439,3520,1,10000,56200
8067,0,0 days 04:00:00.008844777,3540,-1,100,278800
7858,0,0 days 04:00:00.008953496,3544,-1,20000,24400
976,0,0 days 04:00:00.008968884,12225,1,1000,123600
6460,0,0 days 04:00:00.009083314,1235,1,32,143000
6719,0,0 days 04:00:00.009127627,1251,-1,500,264800
7828,0,0 days 04:00:00.009308633,3564,-1,351,89500
7480,0,0 days 04:00:00.009372723,3568,1,9000,198800
1647,0,0 days 04:00:00.009667030,12281,-1,100,263300
6719,0,0 days 04:00:00.009788296,1507,-1,600,261800
3449,0,0 days 04:00:00.009789407,1982,-1,500,274800
8245,0,0 days 04:00:00.009837741,3588,1,20,678800
976,0,0 days 04:00:00.009978728,12317,1,600,125200
8004,0,0 days 04:00:00.009979843,3604,1,1500,87200
7064,0,0 days 04:00:00.010061305,1619,1,500,278900
7480,0,0 days 04:00:00.010496768,3648,-1,9000,204600
4817,0,0 days 04:00:00.010551634,1827,1,500,253100
6081,0,0 days 04:00:00.010579303,1835,-1,250,312900
8248,0,0 days 04:00:00.010751159,3668,-1,300,50000
3202,0,0 days 04:00:00.011259756,2490,1,100,258100
1647,0,0 days 04:00:00.011350373,12445,1,500,255500
519,0,0 days 04:00:00.011387049,12449,1,27,363900
8004,0,0 days 04:00:00.011413469,3728,1,500,89600
6558,0,0 days 04:00:00.011605677,2207,-1,500,105900
2630,0,0 days 04:00:00.011606707,2594,-1,1000,36000
7480,0,0 days 04:00:00.011611050,3740,-1,1000,201900
5270,0,0 days 04:00:00.011747570,2251,1,30,1364500
8686,0,0 days 04:00:00.011825990,3760,-1,10000,5400
8004,0,0 days 04:00:00.012634546,3852,1,1000,89500
2582,0,0 days 04:00:00.013017873,2922,1,250,200000
5901,0,0 days 04:00:00.013076846,2791,1,500,167900
5270,0,0 days 04:00:00.013146442,2815,1,40,1364500
7887,0,0 days 04:00:00.013206597,3880,-1,750,89000
7813,0,0 days 04:00:00.014000676,3940,1,15000,56000
801,0,0 days 04:00:00.014076342,12777,-1,500,32700
801,0,0 days 04:00:00.014136329,12785,-1,1000,34400
720,0,0 days 04:00:00.014147214,12789,-1,1000,55600
801,0,0 days 04:00:00.014158705,12793,-1,500,33300
7813,0,0 days 04:00:00.014231016,3976,1,5000,56100
8004,0,0 days 04:00:00.014240624,3980,1,1000,89400
7874,0,0 days 04:00:00.014396996,4000,-1,73,850000
7306,0,0 days 04:00:00.014431415,4008,1,300,59100
801,0,0 days 04:00:00.014628372,12865,-1,500,32500
720,0,0 days 04:00:00.014639381,12869,-1,1000,55500
5728,0,0 days 04:00:00.014717103,3451,1,2273,4400
720,0,0 days 04:00:00.014753029,12889,-1,1000,53800
801,0,0 days 04:00:00.014760851,12893,-1,1000,34700
599,0,0 days 04:00:00.015004973,12953,1,500,198900
720,0,0 days 04:00:00.015080967,12969,-1,1000,55900
8383,0,0 days 04:00:00.015124088,4112,1,5000,10100
801,0,0 days 04:00:00.015176123,12981,-1,1000,35000
3634,0,0 days 04:00:00.015390175,3522,1,100,251800
4581,0,0 days 04:00:00.015404522,3526,1,532,93900
6604,0,0 days 04:00:00.015514162,3783,-1,90,278500
7931,0,0 days 04:00:00.015588444,4176,-1,600,27300
6365,0,0 days 04:00:00.015594185,3819,1,100,251100
801,0,0 days 04:00:00.015605910,13037,-1,500,33500
6604,0,0 days 04:00:00.015608379,3823,-1,90,277500
720,0,0 days 04:00:00.015616637,13041,-1,1000,55800
6604,0,0 days 04:00:00.015721444,3875,-1,100,280000
599,0,0 days 04:00:00.015774859,13065,1,3000,197300
8159,0,0 days 04:00:00.015842769,4192,-1,200,592300
997,0,0 days 04:00:00.015853601,13073,-1,1000,14600
720,0,0 days 04:00:00.015864080,13077,-1,1000,53400
801,0,0 days 04:00:00.016121418,13129,-1,1000,34100
801,0,0 days 04:00:00.016145199,13133,-1,1000,35300
6604,0,0 days 04:00:00.016397863,4227,-1,90,279000
5312,0,0 days 04:00:00.016419202,4235,1,100,433300
1646,0,0 days 04:00:00.016437871,13173,1,100,260200
3228,0,0 days 04:00:00.016451856,3638,-1,100,263400
7813,0,0 days 04:00:00.016461196,4280,-1,6700,56600
599,0,0 days 04:00:00.016617590,13185,-1,500,199900
7813,0,0 days 04:00:00.016936067,4360,-1,5000,56500
4441,0,0 days 04:00:00.016939647,3674,-1,3000,26200
801,0,0 days 04:00:00.017124998,13241,-1,500,32300
5986,0,0 days 04:00:00.017134478,4615,1,100,255200
801,0,0 days 04:00:00.017145983,13249,-1,500,35900
7931,0,0 days 04:00:00.017243809,4392,-1,190,150000
801,0,0 days 04:00:00.017347735,13261,-1,1000,33500
6604,0,0 days 04:00:00.017430667,4791,-1,500,280000
720,0,0 days 04:00:00.017531455,13285,-1,1000,54000
8159,0,0 days 04:00:00.017553053,4428,-1,200,593700
720,0,0 days 04:00:00.017556419,13297,-1,1000,56000
861,0,0 days 04:00:00.017611235,13309,1,50,407600
6604,0,0 days 04:00:00.017746091,4991,-1,90,279500
801,0,0 days 04:00:00.017792637,13325,-1,1000,36500
801,0,0 days 04:00:00.017923128,13337,-1,1000,37500
801,0,0 days 04:00:00.017933071,13341,-1,1000,36700
5312,0,0 days 04:00:00.018070848,5207,1,100,433300
720,0,0 days 04:00:00.018080790,13357,-1,1000,55700
3228,0,0 days 04:00:00.018087874,3814,1,100,257100
4300,0,0 days 04:00:00.018300545,3834,1,250,2969500
6367,0,0 days 04:00:00.018398787,5407,-1,100,257800
7666,0,0 days 04:00:00.018478770,4556,-1,370,57000
599,0,0 days 04:00:00.018580984,13445,-1,100,200000
3517,0,0 days 04:00:00.018585321,3894,-1,5000,5100
3517,0,0 days 04:00:00.018768574,3910,-1,5000,5200
801,0,0 days 04:00:00.018781420,13469,-1,1000,37400
801,0,0 days 04:00:00.018854551,13485,-1,500,32100
720,0,0 days 04:00:00.019077604,13509,-1,1000,53600
8159,0,0 days 04:00:00.019102174,4608,-1,200,591400
32,0,0 days 04:00:00.019168480,13541,-1,5,2199900
6604,0,0 days 04:00:00.019216817,6003,-1,90,278000
